Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
rplV	67360.2795619379	0.344566565466579	0.202435525180577	1.70210522663558	0.0887356443187768	0.149520917491272
ynjA	68.7726477354767	-0.456551594264303	0.268302057758707	-1.70163284649458	0.0888242161257364	0.149612970837694
elfG	102.038881644993	0.342300130493554	0.201303880141546	1.70041496593541	0.0890528987175188	0.14994086231735
rcbA	184.46297151455	0.391562994020107	0.230402044210299	1.69947708303625	0.0892293289603983	0.150180558250262
cysN	50.9500182404215	-0.436931311411325	0.257133390464004	-1.69923987943717	0.0892739951963377	0.150198385811243
idnR	629.505537323729	0.278722196301475	0.164067360843193	1.69882781602041	0.0893516309383837	0.150271647911635
adk	5015.95611340258	0.500941138175445	0.295074938476078	1.69767429508777	0.0895692518589084	0.150580191530918
ubiA	895.606064596453	-0.333212237534398	0.196574479379144	-1.6950940864084	0.0900575738787897	0.151343418092911
mdtE	59.9494641056119	0.426537906246234	0.251732021380554	1.69441258965389	0.0901869088524811	0.15150300846865
msrP	354.019915051188	-0.280209606002607	0.165480249807563	-1.69331147571062	0.0903961949222558	0.15179673417802
ynbG	8.47249637895646	0.937676433220521	0.554412771545605	1.69129659586745	0.0907801698773273	0.152363270925898
mgrR	1147.84955897022	0.446944966415971	0.264280173713473	1.69117857058979	0.0908027025232156	0.152363270925898
rayT	94.1358484506789	-0.529227394902121	0.312978544350641	-1.69093825904311	0.0908485952002831	0.15238227079256
xisR	182.595359960837	0.295755668971474	0.17493894175333	1.69062225944238	0.090908970535406	0.15242553903388
baeR	510.605790754119	-0.291074693993529	0.172205459818698	-1.69027564108582	0.0909752330381424	0.15247864153313
yobD	676.232110829825	0.415804809483305	0.246124566488231	1.68940799131154	0.0911412706219256	0.152698867693443
proM	1998.05720110846	0.673581848449846	0.399434912885198	1.68633693931367	0.0917309200063381	0.153628379706664
ychO	327.454980685113	-0.303508228250867	0.180065847231741	-1.68554022274007	0.0918843912551871	0.153826964167438
argI	248.151467135563	0.330128764437604	0.195895421675819	1.68522960676398	0.091944280973624	0.153868789116072
yfaL	245.323535825759	0.263862109974442	0.156728228809755	1.68356467739281	0.0922658299841016	0.154348303062588
ydaW	102.021870915765	0.391816067678926	0.232930713366063	1.68211423052299	0.0925466914287145	0.154759414194906
purL	272.220377491898	-0.265036375589223	0.157612880858758	-1.68156545420123	0.09265313414579	0.154878655788639
ygiV	68.2760373366623	0.443394772281586	0.263964269911288	1.67975299244326	0.0930053846112227	0.155391238750553
yhcB	4147.56171548811	0.279298465262597	0.166286194096772	1.67962509924339	0.0930302810940811	0.155391238750553
asnA	1247.92627199912	-0.383614966833214	0.22854197802758	-1.67853175221456	0.0932433371910536	0.155688117552335
yhdY	33.3021146616251	0.550561508371076	0.328460068641199	1.67619007889965	0.0937009668654339	0.156392980667487
ynfA	345.277445459959	0.349378097915608	0.208888129277356	1.67256080622807	0.0944137880650664	0.157523080163063
lpxP	1291.88500074395	-0.229279799055192	0.137124188210916	-1.67205948160312	0.0945125934298487	0.157628267816411
ydiF	86.7206187253956	0.386968155737361	0.231629249607613	1.6706359684405	0.0947936034543688	0.158037142218933
endA	162.348834429656	-0.298865281545445	0.179165215549368	-1.66809880271148	0.0952961148285455	0.158814848455285
mukF	1531.48792067594	-0.271715279568273	0.162927342278475	-1.66770829112193	0.0953736487227527	0.158883992278871
tyrB	550.594943613914	-0.333653534976006	0.200255685178102	-1.66613764138213	0.0956860027984047	0.159326454320818
parC	2600.81194253673	0.267346911120938	0.160471427225879	1.66600943072951	0.0957115360802009	0.159326454320818
folB	1073.081646653	0.319650547799341	0.192015826003977	1.66470938594781	0.0959707495119321	0.15969764584696
ydeI	74.9705131247335	0.429845578118596	0.258290243898035	1.66419595115751	0.096073276940085	0.15980792632147
ves	842.158314611854	-0.202715367557877	0.12204457934942	-1.66099443857718	0.0967145636666672	0.16081395573092
yeeS	17.236843389553	-0.719534499438557	0.433503726448217	-1.65981156686667	0.096952366071716	0.161148578297181
speD	1109.53298401909	-0.33202749983119	0.200068250196278	-1.65957116886589	0.0970007523767447	0.161168230861926
yjbT	36.8943642911674	0.492167237737397	0.296659053445909	1.65903326401308	0.0971090895606488	0.161287440385584
cmoM	546.735775334192	-0.31318967616994	0.188846687098494	-1.658433520767	0.0972299954030268	0.161367928125784
bdcR	413.024177842226	0.249555583347329	0.150487819000724	1.65831085203067	0.0972547397489596	0.161367928125784
ygfM	40.7892370534437	0.454689496808669	0.274198693086678	1.65824822755422	0.0972673740994119	0.161367928125784
cybB	786.114590743087	0.207423396692163	0.125287768863786	1.65557578822939	0.0978077566981768	0.162139067763074
pagP	293.72864771157	0.280940854293317	0.169712361497007	1.65539417291222	0.0978445672374523	0.162139067763074
insC-1	232.594077970889	-0.310462887936001	0.18756181510254	-1.65525636316897	0.0978725064687007	0.162139067763074
yafJ	303.778619300499	-0.252144610441273	0.15233273692338	-1.65522274157063	0.0978793238016198	0.162139067763074
ppnN	1785.64718304028	-0.277889248392581	0.168081068666978	-1.65330486411392	0.0982688335570468	0.162717935597355
ygcP	69.1711006656689	-0.422842351485176	0.25578150417633	-1.65313888839155	0.0983026003847	0.162717935597355
nfi	266.111558268039	-0.305043618877536	0.184610737682843	-1.65236119364625	0.098460941463184	0.162889140637062
ynfP	14.7990757410456	0.752603544288476	0.455497267681513	1.65226796665376	0.0984799364332511	0.162889140637062
hycE	34.4177954109336	-0.498439194760244	0.301802446569979	-1.65154126623248	0.0986281017376106	0.163073020427377
fic	101.215446542175	-0.402529502204863	0.243787025683119	-1.65115227554432	0.0987074852730743	0.163143080271358
mltA	1026.04160195513	0.2456029318938	0.148772565644667	1.65086170847121	0.0987668162204313	0.163179957233756
chaB	97.7579458644237	0.417931296737831	0.253466640562001	1.64886115116044	0.0991760835834692	0.163794745760934
paaK	118.055901008806	-0.318282784373916	0.193076380925655	-1.6484812013152	0.0992539651731178	0.163861976959964
spoT	3639.2765667999	0.347621922206739	0.210992039046173	1.64755942346558	0.0994431127392501	0.164112782087089
yieP	2465.64975636459	-0.34192292314341	0.207686034394363	-1.64634528335281	0.0996926913913605	0.16446309268455
bluR	2593.40718141761	0.225718452700317	0.137207906190954	1.64508342825508	0.0999526075486924	0.1648028290317
nudB	995.936263540365	-0.215682643845328	0.131115457864876	-1.64498257762715	0.09997340399972	0.1648028290317
hemL	1360.07172359985	-0.235979384149777	0.143526065246007	-1.64415699507474	0.100143777496327	0.16502197054348
marR	2700.67237922157	0.536050556905429	0.326308640110379	1.64277156965289	0.100430204550905	0.165422066887661
yfcE	639.179494249078	0.20490748082644	0.12474431821333	1.64261975023199	0.100461631819027	0.165422066887661
dinQ	1509.4655712857	-1.37603312936858	0.83818730626057	-1.64167736625303	0.100656884706844	0.16568168326653
ssrA	534197.615749857	-0.665402029984775	0.405427702444132	-1.64123474043185	0.100748696838256	0.165770905435996
hycC	20.2026997342496	-0.624877293788715	0.380924038457497	-1.64042494225115	0.100916842807459	0.165985613095254
mdtM	166.996798847306	0.295318178063707	0.180089935034764	1.63983721803609	0.101039017448799	0.166124576245545
yibF	748.117744764106	-0.283253705302362	0.172858825205382	-1.63864185103546	0.101287870894751	0.16647163866669
tatD	345.169547268644	-0.278188560939716	0.169865156163064	-1.63770232355755	0.101483805681126	0.166731500351249
rnd	673.560668378319	0.234142131152987	0.1430547116175	1.63673134918504	0.101686615625073	0.167002459640582
ynjH	961.538683356588	-0.499577512495982	0.305478672087428	-1.63539244518191	0.101966805124254	0.16740025213695
lolC	699.977472949484	-0.275661253251467	0.168692337943029	-1.63410654338411	0.102236481153647	0.167780494759969
yhfX	13.0491964630936	-0.741763566404499	0.454238484664897	-1.6329826543687	0.102472644814235	0.168105477611146
argW	175.245643193732	0.365406539262069	0.223854100031308	1.63234240164001	0.102607375544722	0.168263880729589
prpR	62.7019205702149	-0.42584866822202	0.26141213863272	-1.62903172916668	0.1033063022389	0.169347036172953
hda	3365.72133969661	0.249508437812733	0.153188100720877	1.62877166463053	0.103361365245225	0.169374311524517
gdx	1159.07672972224	0.460143027077849	0.282556885054439	1.6284969555394	0.103419554253863	0.169406687161289
eutR	85.1175343083497	-0.389570112171767	0.239277606598511	-1.62810936514186	0.103501698119768	0.169478263488832
uhpB	299.763261917764	0.380966909188357	0.234065478369914	1.62760827372536	0.103607973648475	0.169589286239315
rpsC	57380.5060545651	0.265539365085319	0.163258351937781	1.62649789081859	0.10384378168314	0.169912171365731
rdlB	24.8725286251299	0.599465050268295	0.36950927791796	1.62232746535093	0.104733250901318	0.171303959173658
oppA	21045.880137318	0.205955310695583	0.127077428299981	1.62070726053255	0.105080435768918	0.171808071539092
yaaU	124.512112082541	0.35205535239777	0.217586792727997	1.61799964043714	0.105662675154489	0.172695985198734
plsY	1111.67940920055	0.410074932830506	0.253707916625643	1.61632690963912	0.106023651735942	0.173221740864355
yqfI	46.4533186163205	-0.413308931450585	0.255972303387867	-1.61466270366099	0.106383758479226	0.17370141851047
ybbW	69.6093368865637	0.39958349266951	0.24748050535885	1.614605934678	0.106396059432457	0.17370141851047
ynbC	171.77740186212	0.293723458707131	0.18203001696534	1.61359902945599	0.10661442751107	0.173984404433487
pptA	1114.2309530907	0.463361503920736	0.287188052876697	1.61344282702344	0.106648335022523	0.173984404433487
ada	140.571942160146	-0.36744028799006	0.227828747185155	-1.61279159250015	0.106789793317376	0.174150724729187
pdxY	327.586034132961	-0.31945401403561	0.198224086424841	-1.61158020600456	0.107053320864315	0.174480154688238
paaX	411.960957919106	-0.252952770578965	0.156967359284756	-1.61149917875653	0.107070966068894	0.174480154688238
mlrA	218.84341048203	-0.334202920984398	0.207804888944769	-1.60825340867328	0.107779690246233	0.175570167999037
bcp	2247.3337586766	-0.342287489043466	0.212888488397723	-1.60782525922208	0.107873454690895	0.175649235193317
ybiT	1624.20471167516	0.321488928199033	0.199972220905398	1.60766793879397	0.107907923979924	0.175649235193317
yjcE	698.684881026516	-0.283277553620769	0.176247074505294	-1.60727520962205	0.107994009951889	0.175724472450324
yijF	48.4217520572224	0.413493534978778	0.257395448854954	1.60645239384861	0.108174546886614	0.175953285120367
thiC	565.419292086676	0.581767362211773	0.362233461845759	1.60605637935098	0.108261522945989	0.176029801971937
yfeY	498.118207374494	0.246660718212589	0.15365872471202	1.60525032779537	0.108438725783201	0.176252914178595
groS	5566.02899954066	-0.409088308086577	0.255034458957808	-1.60405111434081	0.108702786202979	0.176616985470966
pstB	707.475042333653	-0.281206199260003	0.175740707369731	-1.60011987813608	0.109571991983617	0.177963647996972
agaI	62.5083575343439	0.399801829317564	0.250068884692679	1.59876679503289	0.109872429656311	0.178385882108662
fldB	1341.91963917994	0.231810159263907	0.145092454407266	1.59767205131998	0.110115981937199	0.178677324474132
